Day Gold    Yen   DM    Pound    DowAve   NYVol
1   365     145   4.12  .623      2650    75.62
2   368     147   4.10  .584      2620    56.34
3   370     150   3.92  .614      2635    98.22
4   365     150   3.89  .605      2634    43.76
5   372     147   3.78  .595      2590    52.33
8   366     146   4.32  .583      2588    61.08
9   373     148   4.08  .573      2576    63.54
10  375     150   3.88  .566      2630    48.22
11  381     150   3.78  .546      2633    35.27
12  380     150   3.68  .555      2648    48.71
15  384     150   3.72  .644      2560    88.24
16  389     150   3.87  .623      2674   121.11
17  390     150   4.02  .620      2640    92.98
18  378     150   4.18  .622      2590    78.22
19  375     150   4.11  .600      2580    67.11
22  374     152   3.88  .753      2653    66.43
23  376     159   3.76  .772      2648    45.24
24  380     158   3.66  .741      2672    56.98
25  390     157   3.54  .764      2653    53.45
26  392     158   3.67  .765      2667    48.12
29  395     170   3.78  .771      2660    76.63
30  401     176   3.66  .768      2664    75.29
31  390     175   3.52  .787      2646    66.98
32  397     170   3.56  .757      2662    73.47
33  405     180   3.56  .766      2653    89.42
