day     BD100    price1   price2   index1D  index2D  line     streng   utilD    transpD
1       2877    38.77    46.77    14.68     -5.4   114.37    97.62    26.22     3.23
2       2789    39.07    46.88    20.69    -3.55   126.19    91.92    26.84      2.6
3       2622    39.47    47.11    23.66     0.15   140.34    99.76    28.64     2.92
4       2739    39.85    47.36    24.87      5.7    150.2    99.66    31.62     2.29
5       2870    40.34    47.66    28.02    13.55   157.96      100    29.36     -0.1
6       3017    40.72    47.74   -12.89     9.61    44.94    92.45     3.38      0.1
7       2892    40.61    47.81    -17.9     5.91    47.67       89     4.62    -0.31
8       2774    40.55    47.87   -18.01    -1.93    54.76    72.32     5.21    -0.21
9       2829    40.52    48.02   -11.84     0.15    63.16     77.6      3.7    -1.78
10      2891    40.49    48.16   -10.88     0.15     57.1    61.49    -1.81     -2.3
11      3011    40.48     48.3    -4.08    -2.07    61.39    54.07    -1.22    -1.77
12      2910    40.46    48.61    -2.06    -4.29    68.96    51.03     0.29    -1.57
13      2814    40.52    49.01    -0.84    -6.51    74.01    55.63     3.38    -0.63
14      2886     40.6    49.38     0.63    -6.51    83.32    66.24    13.87    -0.42
15      2954    40.65    49.56    -0.07    -6.51    71.37     56.4     6.71    -0.21
16      3069    40.66    49.63    -1.22    -4.29    57.02    49.12     2.73     0.63
17      2950    40.71    49.58    -3.59    -4.45    45.91    39.49    -6.11     1.05
18      2829    40.76    49.75    -3.85    -6.99    45.47     41.9     -5.8     0.84
19      2870    40.71    49.84    -11.5   -11.75    23.07    13.18   -13.97     1.78
20      2908    40.67    49.94   -13.66   -14.13    31.55     8.95    -7.59     1.67
21      3000    40.67    50.03   -11.77   -14.13    44.23    15.45     0.92     0.63
22      2866    40.52    49.95    -14.4    -9.37    36.43    10.04    -1.52     1.15
23      2748     40.4    49.94   -15.04    -4.61    54.86    25.26     3.69      2.3
24      2801    40.38    49.69     -6.6     0.15    60.57    55.82    -1.86     2.19
25      2853    40.23    49.33   -13.17     0.15     25.9    30.67   -16.15     3.13
26      2946    39.99    48.95   -21.92     2.92    13.59    10.99   -18.34      2.4
27      2821    39.88    48.63   -14.01      5.7    53.89    43.27    -2.46      4.8
28      2714    39.87    48.48    -4.87     8.48    63.46    62.46     0.64     3.13
29      2779    39.91    48.33    -0.33     8.48    59.37    71.87     2.16     3.44
30      2862    40.11    48.19    12.04     8.48   106.24    93.15    14.24     2.29
31      3056    40.91    48.38   -12.46    11.26    59.37    88.04     7.61     0.62
32      2933    40.74    48.55   -23.86    13.61     40.8    41.71    -2.95     0.83
33      2805    40.56    48.62   -26.42    15.59    30.94    42.52    -5.28     0.83
34      2841    40.42    48.87   -19.84    17.18    38.52     17.7    -2.62      0.1
35      2878    40.31    48.94   -18.54    21.58    26.72    18.87   -12.49     0.21
36      2977     40.2    49.09   -13.28    26.34    38.25    22.34    -7.27    -0.31
37      2865     40.1    49.16   -12.61    25.86    53.73    21.26     -6.2     0.62
38      2762    40.06    49.25   -12.07    22.59    52.27    17.35    -9.12     0.62
39      2823    40.02    49.35   -11.86    18.95    37.56    20.31   -17.89     1.14
40      2888    40.14    49.45    -4.64    14.13    59.15     51.9   -10.58     1.35
41      3009    40.21    49.65    -2.16     7.88    57.05    49.46     -9.1     1.77
42      2922     40.4    49.92      2.6     0.15    82.83    86.06     4.44     1.04
43      2831    40.55    49.98     4.94    -5.21    90.84    75.05    13.38     3.53
44      2916    40.75    50.06     5.32   -10.21   108.31    88.16    26.56     3.63
45      2968    40.64    50.07    18.12    -8.35   128.95    98.99    34.51    -1.66
46      3045    40.87    50.02    25.54     4.95   131.73    97.17    24.65     -0.1
47      2942    40.91    49.82   -22.94     7.87    21.06     5.47   -14.93    -2.08
48      2810    40.78     49.7   -20.57     5.78    35.72    10.81    -2.73     0.31
