Annote   Input    Input    Input    Input    Input    Input    Input    Input    Input    Input    Input    Pattern
 day      index1D  index2D  line     streng   utilD    transpD  BD100D   price1D  price2D  BDAvg2   ind1-1   BD+4     
       1    14.68     -5.4   114.37    97.62    26.22     3.23        0        0        0        0    14.68      131
       2    20.69    -3.55   126.19    91.92    26.84      2.6      -88      0.3     0.11      -44    14.68      147
       3    23.66     0.15   140.34    99.76    28.64     2.92     -167      0.4     0.23   -127.5    20.69     -125
       4    24.87      5.7    150.2    99.66    31.62     2.29      117     0.38     0.25      -25    23.66     -118
       5    28.02    13.55   157.96      100    29.36     -0.1      131     0.49      0.3      124    24.87       55
       6   -12.89     9.61    44.94    92.45     3.38      0.1      147     0.38     0.08      139    28.02       62
       7    -17.9     5.91    47.67       89     4.62    -0.31     -125    -0.11     0.07       11   -12.89      120
       8   -18.01    -1.93    54.76    72.32     5.21    -0.21     -118    -0.06     0.06   -121.5    -17.9     -101
       9   -11.84     0.15    63.16     77.6      3.7    -1.78       55    -0.03     0.15    -31.5   -18.01      -96
      10   -10.88     0.15     57.1    61.49    -1.81     -2.3       62    -0.03     0.14     58.5   -11.84       72
      11    -4.08    -2.07    61.39    54.07    -1.22    -1.77      120    -0.01     0.14       91   -10.88       68
      12    -2.06    -4.29    68.96    51.03     0.29    -1.57     -101    -0.02     0.31      9.5    -4.08      115
      13    -0.84    -6.51    74.01    55.63     3.38    -0.63      -96     0.06      0.4    -98.5    -2.06     -119
      14     0.63    -6.51    83.32    66.24    13.87    -0.42       72     0.08     0.37      -12    -0.84     -121
      15    -0.07    -6.51    71.37     56.4     6.71    -0.21       68     0.05     0.18       70     0.63       41
      16    -1.22    -4.29    57.02    49.12     2.73     0.63      115     0.01     0.07     91.5    -0.07       38
      17    -3.59    -4.45    45.91    39.49    -6.11     1.05     -119     0.05    -0.05       -2    -1.22       92
      18    -3.85    -6.99    45.47     41.9     -5.8     0.84     -121     0.05     0.17     -120    -3.59     -134
      19    -11.5   -11.75    23.07    13.18   -13.97     1.78       41    -0.05     0.09      -40    -3.85     -118
      20   -13.66   -14.13    31.55     8.95    -7.59     1.67       38    -0.04      0.1     39.5    -11.5       53
      21   -11.77   -14.13    44.23    15.45     0.92     0.63       92        0     0.09       65   -13.66       52
      22    -14.4    -9.37    36.43    10.04    -1.52     1.15     -134    -0.15    -0.08      -21   -11.77       93
      23   -15.04    -4.61    54.86    25.26     3.69      2.3     -118    -0.12    -0.01     -126    -14.4     -125
      24     -6.6     0.15    60.57    55.82    -1.86     2.19       53    -0.02    -0.25    -32.5   -15.04     -107
      25   -13.17     0.15     25.9    30.67   -16.15     3.13       52    -0.15    -0.36     52.5     -6.6       65
      26   -21.92     2.92    13.59    10.99   -18.34      2.4       93    -0.24    -0.38     72.5   -13.17       83
      27   -14.01      5.7    53.89    43.27    -2.46      4.8     -125    -0.11    -0.32      -16   -21.92      194
      28    -4.87     8.48    63.46    62.46     0.64     3.13     -107    -0.01    -0.15     -116   -14.01     -123
      29    -0.33     8.48    59.37    71.87     2.16     3.44       65     0.04    -0.15      -21    -4.87     -128
      30    12.04     8.48   106.24    93.15    14.24     2.29       83      0.2    -0.14       74    -0.33       36
      31   -12.46    11.26    59.37    88.04     7.61     0.62      194      0.8     0.19    138.5    12.04       37
      32   -23.86    13.61     40.8    41.71    -2.95     0.83     -123    -0.17     0.17     35.5   -12.46       99
      33   -26.42    15.59    30.94    42.52    -5.28     0.83     -128    -0.18     0.07   -125.5   -23.86     -112
      34   -19.84    17.18    38.52     17.7    -2.62      0.1       36    -0.14     0.25      -46   -26.42     -103
      35   -18.54    21.58    26.72    18.87   -12.49     0.21       37    -0.11     0.07     36.5   -19.84       61
      36   -13.28    26.34    38.25    22.34    -7.27    -0.31       99    -0.11     0.15       68   -18.54       65
      37   -12.61    25.86    53.73    21.26     -6.2     0.62     -112     -0.1     0.07     -6.5   -13.28      121
      38   -12.07    22.59    52.27    17.35    -9.12     0.62     -103    -0.04     0.09   -107.5   -12.61      -87
      39   -11.86    18.95    37.56    20.31   -17.89     1.14       61    -0.04      0.1      -21   -12.07      -91
      40    -4.64    14.13    59.15     51.9   -10.58     1.35       65     0.12      0.1       63   -11.86       85
      41    -2.16     7.88    57.05    49.46     -9.1     1.77      121     0.07      0.2       93    -4.64       52
      42      2.6     0.15    82.83    86.06     4.44     1.04      -87     0.19     0.27       17    -2.16       77
      43     4.94    -5.21    90.84    75.05    13.38     3.53      -91     0.15     0.06      -89      2.6     -103
      44     5.32   -10.21   108.31    88.16    26.56     3.63       85      0.2     0.08       -3     4.94     -132
      45    18.12    -8.35   128.95    98.99    34.51    -1.66       52    -0.11     0.01     68.5     5.32      130
      46    25.54     4.95   131.73    97.17    24.65     -0.1       77     0.23    -0.05     64.5    18.12       65
      47   -22.94     7.87    21.06     5.47   -14.93    -2.08     -103     0.04     -0.2      -13    25.54       17
      48   -20.57     5.78    35.72    10.81    -2.73     0.31     -132    -0.13    -0.12   -117.5   -22.94      -18
      49     9.75    -4.01    92.66    74.44    22.09    -2.29      130     0.01     0.14       -1   -20.57     -122
      50     6.46    -1.93    86.84    74.78    20.55    -2.39       65     0.14     0.08     97.5     9.75       41
      51    20.04     0.15   146.43      100    35.22     1.87       17    -0.55     0.03       41     6.46       45
      52     -3.3     0.15    49.76    39.44      3.2     1.35      -18     0.97    -0.07     -0.5    20.04      100
      53   -11.41     3.18    55.68      8.1        8     1.15     -122    -0.04    -0.07      -70     -3.3     -120
      54   -21.73     9.24    45.09     3.81     6.79     0.62       41     -0.1     -0.1    -40.5   -11.41      -77
      55   -20.19    18.33    57.98       24    12.17     0.73       45    -0.06    -0.12       43   -21.73       49
      56   -11.74    24.39    59.73     29.8    12.73     0.31      100    -0.06    -0.14     72.5   -20.19       46
      57   -11.62    27.42    58.56    34.12     9.99     0.52     -120    -0.09    -0.05      -10   -11.74      104
      58    20.33    27.59    121.4    97.57     20.5        0      -77     0.35     0.04    -98.5   -11.62     -108
      59    -1.62    15.16    22.63     1.12   -17.24    -0.21       49    -0.15     0.02      -14    20.33     -103
      60    -4.32     1.63    21.43    15.15   -21.41        0       46     -0.1    -0.06     47.5    -1.62       66
      61    -1.72   -13.18    32.21    46.61   -21.12    -0.42      104    -0.01    -0.06       75    -4.32       66
      62     0.49   -14.44    43.88    46.54   -20.65     0.31     -108        0    -0.07       -2    -1.72      118
      63    -2.69   -13.57    45.62    46.39   -15.72     0.52     -103     0.01    -0.02   -105.5     0.49     -108
      64    -8.85   -11.71    42.02    26.51   -19.63     1.56       66    -0.08     0.06    -18.5    -2.69     -116
      65    -6.55   -10.96    59.46    46.03    -6.89     1.98       66    -0.02     0.06       66    -8.85       62
      66    -5.06   -11.39     54.3    45.96    -1.48     1.25      118     0.05     -0.1       92    -6.55       46
      67     3.02   -11.69    74.49    72.24    10.54     0.83     -108     0.14    -0.08        5    -5.06      101
      68    -1.87   -13.18    57.18    50.61     1.49     -0.1     -116     0.03     0.01     -112     3.02     -132
      69    -7.19   -14.73    66.94    40.79     7.56    -1.66       62     0.03     0.02      -27    -1.87     -118
      70   -15.96   -16.53    33.62     7.74    -6.94    -2.18       46    -0.09    -0.01       54    -7.19       55
      71   -17.28   -17.26    27.42    14.29   -15.29    -1.97      101     -0.1     0.23     73.5   -15.96       63
      72    -5.72   -17.76    33.97    56.25   -14.29    -2.18     -132     0.08     0.26    -15.5   -17.28      132
      73    -5.84   -16.73    31.97    43.61   -18.64    -2.81     -118        0     0.09     -125    -5.72     -107
      74    -5.38      -14     35.9    50.51   -19.59    -2.91       55     0.03     0.09    -31.5    -5.84     -108
      75    -9.06   -11.45    56.55    35.01    -6.99    -2.29       63        0     0.09       59    -5.38       52
