NotUsed  NotUsed  NotUsed  NotUsed  NotUsed  NotUsed  NotUsed  NotUsed  NotUsed  NotUsed  NotUsed  NotUsed  NotUsed
 B        C        D        E        F        G        H        I        J        K        L        M        A        
       0        0        0        0        1        0        0        1        1        0        0        0        1
       1        1        0        0        0        0        1        1        1        0        1        0        1
       1        1        0        0        1        0        1        0        0        0        1        0        1
       1        0        0        1        0        0        1        1        0        0        0        0        1
       0        0        0        0        1        0        0        0        0        0        0        0        1
       0        1        0        0        1        0        1        0        0        0        0        1        1
       1        1        0        0        1        0        0        0        0        0        1        0        1
       1        1        0        0        0        0        0        1        0        0        0        1        1
       0        0        0        0        1        0        0        1        0        0        0        0        1
       0        1        1        0        1        0        1        1        0        1        0        0        1
       1        1        0        0        0        0        1        0        0        0        0        0        1
       0        1        0        0        1        1        1        1        0        0        1        0        1
       1        1        0        0        1        1        1        1        0        0        1        0        1
       1        1        0        0        1        0        1        1        0        0        1        0        1
       1        1        1        0        1        0        0        1        0        0        0        0        1
       0        1        0        0        0        0        0        0        0        0        1        0        1
       0        0        0        0        1        0        1        0        0        0        0        0        1
       0        0        0        0        1        0        1        0        1        0        0        0        1
       1        0        1        1        0        0        1        0        1        0        0        0        2
       1        1        0        1        0        1        0        0        0        1        0        0        2
       1        0        0        1        0        0        1        0        1        0        1        0        2
       0        0        1        0        1        0        0        1        1        0        0        1        2
       0        0        0        1        0        1        0        1        1        0        1        0        2
       1        1        1        1        1        0        1        0        0        0        0        0        2
       1        0        0        1        0        0        0        1        1        0        0        0        2
       1        1        0        0        1        1        0        0        1        0        0        1        2
       1        0        0        1        0        0        1        0        0        1        0        1        2
       1        1        0        0        0        1        0        0        0        0        0        1        2
       1        1        1        1        0        0        1        1        1        0        0        0        2
       1        1        0        1        1        0        0        0        0        1        0        0        2
       0        0        1        1        1        1        0        0        0        1        0        1        2
